id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
1,Mujer,0,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
2,Mujer,0,2014,1,UNAB25434,Magister en Terapia Ocupacional con Menciones,Ciencias de la Rehabilitación,CAS,Santiago,Vespertina,3,2016,Desertor,0,Magíster
3,Hombre,1,2018,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2020,Activo,1,Magíster
4,Hombre,1,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
5,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
6,Mujer,0,2018,2,UNAB25361,Magister en Educación Inicial Mención en Didactica de las Matemáticas y el Lenguaje,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2021,Activo,1,Magíster
7,Hombre,1,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8,Hombre,1,2017,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
9,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
10,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
11,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
12,Hombre,1,2018,2,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2021,Activo,1,Magíster
13,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
14,Mujer,0,2018,1,UNAB25566,Magíster en Finanzas Aplicadas,Economía y Negocios,LNS,Santiago,Vespertina,26,2020,Activo,1,Magíster
15,Mujer,0,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
16,Mujer,0,2016,2,UNAB35520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
17,Hombre,1,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2019,Desertor,0,Magíster
18,Hombre,1,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
19,Mujer,0,2018,2,UNAB35519,Magíster en Gestión e Inclusión laboral de Personas en Situación de Discapacidad,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
20,Hombre,1,2017,2,UNAB25477,Magíster en Lenguaje y Comunicación,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
21,Hombre,1,2017,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
22,Mujer,0,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
23,Mujer,0,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
24,Mujer,0,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
25,Hombre,1,2018,1,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2020,Activo,1,Magíster
26,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
27,Mujer,0,2017,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
28,Mujer,0,2015,2,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2018,Desertor,0,Magíster
29,Mujer,0,2017,1,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2019,Desertor,0,Magíster
30,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
31,Hombre,1,2018,2,UNAB25636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
32,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
33,Hombre,1,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
34,Mujer,0,2017,2,UNAB35519,Magíster en Gestión e Inclusión laboral de Personas en Situación de Discapacidad,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
35,Hombre,1,2017,1,UNAB25529,Magíster en Historia,Educación y Ciencias Sociales,REP,Santiago,Vespertina,4,2019,Desertor,0,Magíster
36,Mujer,0,2014,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,VIN,Viña del Mar,Vespertina,3,2016,Desertor,0,Magíster
37,Hombre,1,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
38,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
39,Mujer,0,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
40,Mujer,0,2015,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
41,Hombre,1,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2021,Activo,1,Magíster
42,Hombre,1,2017,1,UNAB25893,Magíster en Rendimiento Deportivo,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
43,Hombre,1,2017,1,UNAB16354,Magister en Neuro Rehabilitación,Ciencias de la Rehabilitación,CON,Concepción,Diurna,4,2019,Desertor,0,Magíster
44,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2020,Activo,1,Magíster
45,Hombre,1,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
46,Hombre,1,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
47,Mujer,0,2018,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
48,Mujer,0,2016,2,UNAB25477,Magíster en Lenguaje y Comunicación,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2019,Desertor,0,Magíster
49,Hombre,1,2017,2,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2020,Activo,1,Magíster
50,Mujer,0,2017,1,UNAB35338,Magíster en Gestión en Atención Primaria de Salud,Enfermería,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
51,Hombre,1,2018,1,UNAB35566,Magíster en Finanzas Aplicadas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
52,Hombre,1,2018,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2020,Activo,1,Magíster
53,Hombre,1,2018,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
54,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
55,Mujer,0,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
56,Mujer,0,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
57,Mujer,0,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
58,Mujer,0,2018,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
59,Mujer,0,2017,1,UNAB25477,Magíster en Lenguaje y Comunicación,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2020,Activo,1,Magíster
60,Mujer,0,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
61,Mujer,0,2018,1,UNAB26220,Magister en Comprensión Lectora y Producción de Textos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
62,Mujer,0,2015,1,UNAB16354,Magister en Neuro Rehabilitación,Ciencias de la Rehabilitación,VIN,Viña del Mar,Diurna,4,2017,Desertor,0,Magíster
63,Mujer,0,2017,2,UNAB35553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,On Line,26,2019,Desertor,0,Magíster
64,Hombre,1,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
65,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,EXT,Santiago,Vespertina,4,2019,Desertor,0,Magíster
66,Hombre,1,2017,1,UNAB25893,Magíster en Rendimiento Deportivo,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
67,Hombre,1,2018,2,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2021,Activo,1,Magíster
68,Mujer,0,2018,1,UNAB35520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
69,Mujer,0,2016,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2018,Desertor,0,Magíster
70,Hombre,1,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
71,Hombre,1,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
72,Mujer,0,2018,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
73,Mujer,0,2017,1,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2019,Desertor,0,Magíster
74,Hombre,1,2018,1,UNAB15637,Magíster en Biotecnología y Ciencias de la Vida,Ciencias de la Vida,REP,Santiago,Diurna,4,2020,Activo,1,Magíster
75,Hombre,1,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
76,Mujer,0,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
77,Mujer,0,2016,1,UNAB36227,Magister en Administración Marítima Portuaria,Ingeniería,REP,Santiago,On Line,3,2018,Desertor,0,Magíster
78,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
79,Mujer,0,2018,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2020,Activo,1,Magíster
80,Mujer,0,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
81,Mujer,0,2018,2,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
82,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
83,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
84,Mujer,0,2017,2,UNAB25477,Magíster en Lenguaje y Comunicación,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
85,Mujer,0,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
86,Hombre,1,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
87,Mujer,0,2015,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,REP,Santiago,On Line,3,2017,Desertor,0,Magíster
88,Mujer,0,2018,2,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2021,Activo,1,Magíster
89,Hombre,1,2016,2,UNAB25554,Magister en Direccion de Empresas (MBA Executive),Economía y Negocios,CON,Concepción,Vespertina,28,2018,Desertor,0,Magíster
90,Mujer,0,2017,1,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2019,Desertor,0,Magíster
91,Hombre,1,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
92,Mujer,0,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
93,Hombre,1,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
94,Hombre,1,2017,1,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2019,Desertor,0,Magíster
95,Mujer,0,2017,1,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
96,Hombre,1,2015,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
97,Mujer,0,2014,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
98,Mujer,0,2018,2,UNAB25551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,Vespertina,26,2020,Activo,1,Magíster
99,Hombre,1,2018,2,UNAB25551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,Vespertina,26,2020,Activo,1,Magíster
100,Mujer,0,2018,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
101,Hombre,1,2017,1,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2019,Desertor,0,Magíster
102,Mujer,0,2016,1,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2018,Desertor,0,Magíster
103,Mujer,0,2017,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
104,Hombre,1,2017,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2019,Desertor,0,Magíster
105,Hombre,1,2016,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
106,Hombre,1,2014,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,REP,Santiago,Vespertina,3,2016,Desertor,0,Magíster
107,Hombre,1,2016,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
108,Mujer,0,2017,2,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2020,Activo,1,Magíster
109,Mujer,0,2015,2,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
110,Mujer,0,2014,2,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
111,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2016,Desertor,0,Magíster
112,Hombre,1,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
113,Hombre,1,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
114,Hombre,1,2018,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
115,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
116,Mujer,0,2014,1,UNAB25502,Magíster en Potenciación de Aprendizajes,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2016,Desertor,0,Magíster
117,Mujer,0,2017,2,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2020,Activo,1,Magíster
118,Mujer,0,2015,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
119,Hombre,1,2018,2,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2021,Activo,1,Magíster
120,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
121,Mujer,0,2016,1,UNAB26220,Magister en Comprensión Lectora y Producción de Textos,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2018,Desertor,0,Magíster
122,Mujer,0,2015,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2017,Desertor,0,Magíster
123,Hombre,1,2015,3,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,REP,Santiago,On Line,3,2018,Desertor,0,Magíster
124,Mujer,0,2016,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
125,Mujer,0,2014,1,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
126,Hombre,1,2017,1,IPPG15348,MBA con Especialización en Salud,IPPG,EXT,Santiago,Diurna,4,2019,Desertor,0,Magíster
127,Hombre,1,2015,1,UNAB25529,Magíster en Historia,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2017,Desertor,0,Magíster
128,Hombre,1,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2016,Desertor,0,Magíster
129,Mujer,0,2014,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
130,Hombre,1,2014,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2016,Desertor,0,Magíster
131,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
132,Mujer,0,2016,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2018,Desertor,0,Magíster
133,Hombre,1,2016,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
134,Hombre,1,2014,1,UNAB25473,Magíster en Comunicación Estratégica y Responsabilidad Social,Educación y Ciencias Sociales,REP,Santiago,Vespertina,4,2016,Desertor,0,Magíster
135,Mujer,0,2014,2,UNAB25520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,Vespertina,4,2017,Desertor,0,Magíster
136,Hombre,1,2015,2,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
137,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
138,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
139,Hombre,1,2014,2,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,REP,Santiago,On Line,3,2016,Desertor,0,Magíster
140,Mujer,0,2017,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
141,Mujer,0,2018,2,UNAB25551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,Vespertina,26,2020,Activo,1,Magíster
142,Mujer,0,2014,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
143,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
144,Mujer,0,2018,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2020,Activo,1,Magíster
145,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
146,Hombre,1,2014,1,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
147,Hombre,1,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CAS,Santiago,Vespertina,4,2016,Desertor,0,Magíster
148,Mujer,0,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
149,Hombre,1,2014,1,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
150,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
151,Mujer,0,2018,1,UNAB35338,Magíster en Gestión en Atención Primaria de Salud,Enfermería,REP,Santiago,On Line,4,2020,Activo,1,Magíster
152,Mujer,0,2016,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2018,Desertor,0,Magíster
153,Mujer,0,2018,1,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2020,Activo,1,Magíster
154,Hombre,1,2015,2,UNAB15527,Magíster en Dirección y Gestión de Empresas (MBA Executive),Economía y Negocios,EXT,Santiago,Diurna,4,2018,Desertor,0,Magíster
155,Hombre,1,2018,3,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2021,Activo,1,Magíster
156,Hombre,1,2018,1,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2020,Activo,1,Magíster
157,Mujer,0,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2016,Desertor,0,Magíster
158,Mujer,0,2017,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,EXT,Santiago,On Line,4,2019,Desertor,0,Magíster
159,Mujer,0,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
160,Mujer,0,2016,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
161,Hombre,1,2018,1,UNAB35553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
162,Hombre,1,2018,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
163,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
